"time","delta1","delta2","delta3","intPrecip","lowDepthQF","exDeltaQF","missingWireInfoQF","gapQF","priorDepthQF","overflowQF","inletHeaters1QM","inletHeaters2QM","inletHeaters3QM","adjPrecip","gaugeNoiseQF","radjPrecip","wireNoiseQF","roundedPrecip","detectablePrecip","finalPrecip"
2012-01-15 09:45:00,0.141331426510988,-0.21464230968752,0.0180750474037268,0.00607841167061992,0,0,0,0,0,0,0,0,0,0.00607841167061992,0,0,1,0,0,0
2012-01-15 09:50:00,0.0504139893181446,0.0144338765514931,0.00170367211217126,0.0200304384840855,0,0,0,0,0,0,0,0,0,0.0200304384840855,0,0.0200304384840855,0,0.02,0,0
2012-01-15 09:55:00,-0.0699442683400093,0.127380778839211,-0.0273881033392627,-0.00684959063002876,0,0,0,0,0,0,0,0,0,-0.00684959063002876,0,0,1,0,0,0
2012-01-15 10:00:00,-0.0165115792103734,0.100394593962733,0.011582470577423,0.0256720811126397,0,0,0,0,0,0,0,0,0,0.0256720811126397,0,0,1,0,0,0
2012-01-15 10:05:00,-0.0590514478144541,-0.240154795901958,0.00783363542632287,-0.06706781961175,0,0,0,0,0,0,0,0,0,-0.06706781961175,0,0,1,0,0,0
2012-01-15 10:10:00,1.19563926099931,0.960769908342627,0.925134093070369,0.999732121302058,0,0,0,0,0,0,0,0,0,0.999732121302058,0,0.999732121302058,0,1,1,1
2012-01-15 10:15:00,-0.130766053460775,-0.0538008228836588,-0.0312556674133475,-0.0609252254181748,0,0,0,0,0,0,0,0,0,-0.0609252254181748,0,0,1,0,0,0
2012-01-15 10:20:00,0.107370684921989,0.0615819562059414,-0.00421425965862454,0.0386188240433658,0,0,0,0,0,0,0,0,0,0.0386188240433658,0,0,1,0,0,0
2012-01-15 10:25:00,-0.1744148661287,-0.0253028708785905,0.0263201909159534,-0.0349803886823913,0,0,0,0,0,0,0,0,0,-0.0349803886823913,0,0,1,0,0,0
2012-01-15 10:30:00,-0.0711468940057784,0.149506814801157,-0.00603099940053653,0.0147504226879591,0,0,0,0,0,0,0,0,0,0.0147504226879591,0,0,1,0,0,0
2012-01-15 10:35:00,-0.0881878821065811,-0.0221291442302345,-0.00462854647344102,-0.0292045105063099,0,0,0,0,0,0,0,0,0,-0.0292045105063099,0,0,1,0,0,0
2012-01-15 10:40:00,0.0877188288951629,-0.0478357373933704,-0.000442233120566016,0.00994179652994021,0,0,0,0,0,0,0,0,0,0.00994179652994021,0,0,1,0,0,0
2012-01-15 10:45:00,0.0862401363576737,-0.0313476523988356,0.0118081713408174,0.0198332857556326,0,0,0,0,0,0,0,0,0,0.0198332857556326,0,0,1,0,0,0
2012-01-15 10:50:00,0.0787388814968608,-0.0155647843911311,-0.0203579463938013,0.00502016975962928,0,0,0,0,0,0,0,0,0,0.00502016975962928,0,0,1,0,0,0
