"time","Freq1","Freq2","Freq3","orificeHeater","gapQF","stab1","stab2","stab3"
"15-Jan-12 12.27.00.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.27.10.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.27.20.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.27.30.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.27.40.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.27.50.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.28.00.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.28.10.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.28.20.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.28.30.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.28.40.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.28.50.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.29.00.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.29.10.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.29.20.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.29.30.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.29.40.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.29.50.000 AM",7292.62110007556,7209.85411482362,7572.16161876404,"000",0,1,1,1
"15-Jan-12 12.30.00.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.30.10.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.30.20.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.30.30.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.30.40.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.30.50.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.31.00.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.31.10.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.31.20.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.31.30.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.31.40.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
"15-Jan-12 12.31.50.000 AM",7292.24033847453,7209.71527049551,7572.12438297142,"000",0,1,1,1
